,2013,2014,2015,2016,2017,2018
Port1,0.19243985732408864,0.5557236483453627,1.08618799712466,-0.1077643640944338,0.01663752911440164,-0.2496155759848332
Port2,0.15203524604123464,0.613996812903826,0.8145518148757114,-0.09581942770978735,0.01149298632532858,-0.30854427949719776
Port3,0.13556551450268883,0.5110864543187865,0.7964441744345405,-0.07848089967204097,-0.0636104356394287,-0.2620775927147072
Port4,0.08411652539686454,0.5202567468854411,0.6266940341046359,-0.07413115766598022,-0.07197530671026586,-0.3486027600328837
Port5,0.08152382054666396,0.5870353494691658,0.6164233869855724,-0.12871616448537038,-0.06162649349908833,-0.29580809255759033
baseline,0.12878489224567335,0.5581127073767069,0.7855722135292431,-0.09696902092622417,-0.03434208565359742,-0.2936133647391409
hs300,-0.13281416898844067,0.5165946646088928,0.05583366466640505,-0.1128178423361409,0.21775121018193921,-0.24131151190668876
index,0.008053867731270925,0.48039824761349137,0.3517234040717794,-0.1274187938501824,0.03406128966466393,-0.275443853016619
szzz,0.12973292259839697,0.3380333092236203,0.6315161699021548,-0.14716725273040465,-0.03543115765663862,-0.2835922656208052
zz1000,0.23182899715898397,0.3445699074764976,0.7609860274208962,-0.20006045572993258,-0.17354069070803635,-0.36121814974265865
zz500,0.10042941248486148,0.3900706589753824,0.4311663185359953,-0.17775251785679347,-0.0020443271705128385,-0.30322135697571406
