,年化收益率,年化波动率,夏普比率,最大回撤,超额收益年化收益率,超额收益年化波动率,信息比率,超额收益胜率,超额收益最大回撤
Port1,0.19259214510132128,0.30172240124910593,0.6383090692106573,0.3734115451144186,0.11404679920917915,0.06725672379006223,1.6956936464102725,0.6818181818181818,0.028453396434620762
Port2,0.17660831529483434,0.29270433866736234,0.6033676032917883,0.38295446751507217,0.09687937479528852,0.059415694700738195,1.6305350847658249,0.6515151515151515,0.03911676201193017
Port3,0.19071291239586086,0.29476931182521143,0.6469903912824798,0.3463646578900852,0.10875414098894742,0.08084415404323833,1.345231974729822,0.6363636363636364,0.09254743847668181
Port4,0.0916567792172085,0.29041386457197155,0.31560744991392703,0.4556230065643644,0.016660490544229356,0.06193289993450933,0.269008726570965,0.4696969696969697,0.159755734531876
Port5,0.12784854845191385,0.2985512448543849,0.42822982873265386,0.39464190882085387,0.051750108520176585,0.07184439138039622,0.7203082596409516,0.5151515151515151,0.10991902397236375
szzz,0.1032983476822904,0.28310586344100225,0.36487533824539536,0.4244630098086318,0.0,0.0,,1.0,0.0
index,0.08285572980715217,0.25288586738542085,0.3276408075460879,0.41639625725820917,-0.02828929992524476,0.13878530872227463,-0.20383497493855712,0.5303030303030303,0.6366223938806885
zz1000,0.08181642785725396,0.32338824953497225,0.25299752843495343,0.5694752905649019,0.0,0.0,,1.0,0.0
zz500,0.07644285731902101,0.2746488474009235,0.27832943062539856,0.47648786551812483,0.0,0.0,,1.0,0.0
hs300,0.04984139822087008,0.2455455321270183,0.20298230551834115,0.4055839196137687,0.0,0.0,,1.0,0.0
