,avgIC,IC_IR,abs_T_greater2,factor_return
0.25,-0.012827818143229029,-0.002602374961411451,0.1076923076923077,0.05787830854722067
0.5,0.38375789855592723,0.07755580882638473,0.1076923076923077,0.08265881412320254
0.75,0.624277563356774,0.12671903497152065,0.13846153846153847,0.10180274944203171
1.0,0.825099565448701,0.16666009458023695,0.15384615384615385,0.11612337008683948
1.5,1.1280560330707077,0.22478445798596824,0.16923076923076924,0.13615667752380708
2.0,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
3.0,1.6035163947442581,0.31592920196194696,0.15384615384615385,0.15933411805890296
6.0,1.653508495542565,0.3246626849937477,0.16923076923076924,0.14608528581480448
8.0,1.6170753559535063,0.3182930130566659,0.15384615384615385,0.13522593487385198
