,0,1,2,3,4
0,0.19342618423198726,0.2006914779717357,0.1673809512121316,0.1545673447393825,0.1255179624392373
2,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
5,0.18675289027502814,0.203564216567274,0.19770083924246284,0.13751305342926254,0.11730375841263885
8,0.19800346724635665,0.1959665221548668,0.1884141289277068,0.13402983128411816,0.12586533608904116
10,0.18777034541069404,0.17996687161680391,0.19183911260276187,0.14338933346475335,0.13785775309342418
15,0.1868989603233644,0.1921453002574245,0.19269982088547533,0.13876194921262974,0.13077262979163073
20,0.2000007331821665,0.20597562042528936,0.16070463661757795,0.15136505542279455,0.12415336253444065
30,0.2070737159355036,0.1981385714108881,0.16149278435914494,0.14565208003788555,0.12987065844135426
45,0.16322452525692446,0.20017320245750087,0.1890261420407795,0.15879142916584432,0.13069012602777752
50,0.18558615450048666,0.17416083298674126,0.21189872961353973,0.14901384803719986,0.12161282977910083
